,embedding_type,feature_n,fam_duration,violation_type,trial_id,fam,test,stim_id
0,resnet_pa,3,8,background,0,animate_007_right.png,animate_007_right.png,0
1,resnet_pa,3,8,background,0,animate_007_left_pair.png,animate_007_left_pair.png,1
2,resnet_pa,3,8,background,0,animate_001_right.png,animate_001_right.png,2
3,resnet_pa,3,8,background,0,animate_001_left_pair.png,animate_001_left_pair.png,8
4,resnet_pa,3,8,background,0,animate_001_right_pair.png,animate_001_right_pair.png,10
5,resnet_pa,3,8,background,0,inanimate_012_left_pair.png,inanimate_012_left_pair.png,12
6,resnet_pa,3,8,background,0,animate_010_right.png,animate_010_right.png,14
7,resnet_pa,3,8,background,0,animate_007_left.png,animate_007_left.png,15
8,resnet_pa,3,8,background,0,animate_002_left.png,animate_002_left.png,16
9,resnet_pa,3,8,background,0,animate_009_right_pair.png,animate_009_right_pair.png,18
10,resnet_pa,3,8,background,0,inanimate_004_left.png,inanimate_004_left.png,19
11,resnet_pa,3,8,background,0,inanimate_008_left.png,inanimate_008_left.png,20
12,resnet_pa,3,8,background,0,animate_012_left_pair.png,animate_012_left_pair.png,23
13,resnet_pa,3,8,background,0,inanimate_006_right_pair.png,inanimate_006_right_pair.png,26
14,resnet_pa,3,8,background,0,inanimate_003_left_pair.png,inanimate_003_left_pair.png,28
15,resnet_pa,3,8,background,0,inanimate_011_left_pair.png,inanimate_011_left_pair.png,35
16,resnet_pa,3,8,background,0,inanimate_004_right_pair.png,inanimate_004_right_pair.png,37
17,resnet_pa,3,8,background,0,inanimate_011_right_pair.png,inanimate_011_right_pair.png,39
18,resnet_pa,3,8,background,0,animate_006_right_pair.png,animate_006_right_pair.png,41
19,resnet_pa,3,8,background,0,animate_009_left.png,animate_009_left.png,42
20,resnet_pa,3,8,background,0,inanimate_005_left.png,inanimate_005_left.png,46
21,resnet_pa,3,8,background,0,inanimate_010_left_pair.png,inanimate_010_left_pair.png,47
22,resnet_pa,3,8,background,0,animate_006_right.png,animate_006_right.png,48
23,resnet_pa,3,8,background,0,inanimate_001_right_pair.png,inanimate_001_right_pair.png,51
24,resnet_pa,3,8,background,0,inanimate_002_right_pair.png,inanimate_002_right_pair.png,53
25,resnet_pa,3,8,background,0,inanimate_003_right_pair.png,inanimate_003_right_pair.png,54
26,resnet_pa,3,8,background,0,animate_012_left.png,animate_012_left.png,55
27,resnet_pa,3,8,background,0,animate_006_left_pair.png,animate_006_left_pair.png,57
28,resnet_pa,3,8,background,0,animate_003_left_pair.png,animate_003_left_pair.png,60
29,resnet_pa,3,8,background,0,inanimate_009_right_pair.png,inanimate_009_right_pair.png,63
30,resnet_pa,3,8,background,0,animate_006_left.png,animate_006_left.png,69
31,resnet_pa,3,8,background,0,animate_002_left_pair.png,animate_002_left_pair.png,70
32,resnet_pa,3,8,background,0,animate_009_right.png,animate_009_right.png,71
33,resnet_pa,3,8,background,0,inanimate_008_left_pair.png,inanimate_008_left_pair.png,75
34,resnet_pa,3,8,background,0,animate_002_right_pair.png,animate_002_right_pair.png,79
35,resnet_pa,3,8,background,0,animate_012_right_pair.png,animate_012_right_pair.png,82
36,resnet_pa,3,8,background,0,animate_011_right.png,animate_011_right.png,83
37,resnet_pa,3,8,background,0,animate_010_left.png,animate_010_left.png,94
38,resnet_pa,3,8,background,0,inanimate_009_left_pair.png,inanimate_009_left_pair.png,95
39,resnet_pa,3,8,background,0,animate_008_right.png,animate_008_right.png,97
40,resnet_pa,3,8,background,0,inanimate_010_left.png,inanimate_010_left.png,99
41,resnet_pa,3,8,background,0,inanimate_003_left.png,inanimate_003_left.png,100
42,resnet_pa,3,8,background,0,animate_005_right_pair.png,animate_005_right_pair.png,102
43,resnet_pa,3,8,background,0,inanimate_008_right_pair.png,inanimate_008_right_pair.png,103
44,resnet_pa,3,8,background,0,animate_011_left.png,animate_011_left.png,108
45,resnet_pa,3,8,background,0,animate_003_right_pair.png,animate_003_right_pair.png,111
46,resnet_pa,3,8,background,0,inanimate_010_right_pair.png,inanimate_010_right_pair.png,113
47,resnet_pa,3,8,background,0,animate_008_left.png,animate_008_left.png,116
48,resnet_pa,3,8,background,0,inanimate_002_left.png,inanimate_002_left.png,118
49,resnet_pa,3,8,background,0,inanimate_005_left_pair.png,inanimate_005_left_pair.png,122
50,resnet_pa,3,8,background,0,inanimate_007_left.png,inanimate_007_left.png,126
51,resnet_pa,3,8,background,0,animate_011_left_pair.png,animate_011_left_pair.png,127
52,resnet_pa,3,8,background,0,inanimate_006_left.png,inanimate_006_left.png,132
53,resnet_pa,3,8,background,0,animate_010_left_pair.png,animate_010_left_pair.png,133
54,resnet_pa,3,8,background,0,inanimate_004_left_pair.png,inanimate_004_left_pair.png,134
55,resnet_pa,3,8,background,0,animate_008_right_pair.png,animate_008_right_pair.png,140
56,resnet_pa,3,8,background,0,animate_004_right_pair.png,animate_004_right_pair.png,143
57,resnet_pa,3,8,background,0,animate_011_right_pair.png,animate_011_right_pair.png,146
58,resnet_pa,3,8,background,0,animate_005_left.png,animate_005_left.png,150
59,resnet_pa,3,8,background,0,inanimate_006_left_pair.png,inanimate_006_left_pair.png,152
60,resnet_pa,3,8,background,0,animate_012_right.png,animate_012_right.png,153
61,resnet_pa,3,8,background,0,inanimate_002_left_pair.png,inanimate_002_left_pair.png,160
62,resnet_pa,3,8,background,0,inanimate_007_right_pair.png,inanimate_007_right_pair.png,166
63,resnet_pa,3,8,background,0,animate_009_left_pair.png,animate_009_left_pair.png,169
64,resnet_pa,3,8,background,0,inanimate_001_left_pair.png,inanimate_001_left_pair.png,174
65,resnet_pa,3,8,background,0,inanimate_001_left.png,inanimate_001_left.png,175
66,resnet_pa,3,8,background,0,animate_004_right.png,animate_004_right.png,183
67,resnet_pa,3,8,background,0,inanimate_011_left.png,inanimate_011_left.png,186
68,resnet_pa,3,8,background,0,animate_010_right_pair.png,animate_010_right_pair.png,187
69,resnet_pa,3,8,background,0,inanimate_012_right_pair.png,inanimate_012_right_pair.png,189
70,resnet_pa,3,8,background,0,animate_007_right_pair.png,animate_007_right_pair.png,195
71,resnet_pa,3,8,background,0,inanimate_009_left.png,inanimate_009_left.png,197
72,resnet_pa,3,8,background,0,animate_004_left.png,animate_004_left.png,215
73,resnet_pa,3,8,background,0,animate_004_left_pair.png,animate_004_left_pair.png,241
74,resnet_pa,3,8,background,0,inanimate_007_left_pair.png,inanimate_007_left_pair.png,294
75,resnet_pa,3,8,background,0,animate_002_right.png,animate_002_right.png,296
76,resnet_pa,3,8,background,0,animate_001_left.png,animate_001_left.png,298
77,resnet_pa,3,8,background,0,animate_003_right.png,animate_003_right.png,307
78,resnet_pa,3,8,background,0,animate_003_left.png,animate_003_left.png,309
79,resnet_pa,3,8,background,0,animate_008_left_pair.png,animate_008_left_pair.png,316
80,resnet_pa,3,8,background,0,animate_005_right.png,animate_005_right.png,337
81,resnet_pa,3,8,background,0,inanimate_012_left.png,inanimate_012_left.png,360
82,resnet_pa,3,8,background,0,inanimate_005_right_pair.png,inanimate_005_right_pair.png,367
83,resnet_pa,3,8,background,0,animate_005_left_pair.png,animate_005_left_pair.png,449
84,resnet_pa,3,9,background,5,animate_007_right.png,animate_007_right.png,0
85,resnet_pa,3,9,background,5,animate_007_left_pair.png,animate_007_left_pair.png,1
86,resnet_pa,3,9,background,5,animate_001_right.png,animate_001_right.png,2
87,resnet_pa,3,9,background,5,animate_001_left_pair.png,animate_001_left_pair.png,8
88,resnet_pa,3,9,background,5,animate_001_right_pair.png,animate_001_right_pair.png,10
